subject,body,label,category,subcategory,complexity,text_combined,dataset,created_date,cleaned_text
Assignment Feedback: {assignment},"Dear Carlos,

Your enrollment for {course} ({semester} {year}) has been confirmed.

**Course Details:**
• Course Code: {course_code}
• Instructor: {professor}
• Schedule: {days}, {time}
• Location: {room}
• Credits: {credits}

**Required Materials:**
• Textbook: {textbook}
• Software: {software}
• Lab Equipment: {equipment}

**Important Dates:**
• First Class: {date}
• Add/Drop Deadline: {date2}
• Final Exam: {date3}

Please ensure you have completed all prerequisites before the first class.

Best regards,
{university} Registrar's Office",0,legitimate,academic_education,medium,"Assignment Feedback: {assignment} Dear Carlos,

Your enrollment for {course} ({semester} {year}) has been confirmed.

**Course Details:**
• Course Code: {course_code}
• Instructor: {professor}
• Schedule: {days}, {time}
• Location: {room}
• Credits: {credits}

**Required Materials:**
• Textbook: {textbook}
• Software: {software}
• Lab Equipment: {equipment}

**Important Dates:**
• First Class: {date}
• Add/Drop Deadline: {date2}
• Final Exam: {date3}

Please ensure you have completed all prerequisites before the first class.

Best regards,
{university} Registrar's Office",generated,2026-03-22,"assignment feedback: {assignment} dear carlos, your enrollment for {course} ({semester} {year}) has been confirmed. **course details:** • course code: {course_code} • instructor: {professor} • schedule: {days}, {time} • location: {room} • credits: {credits} **required materials:** • textbook: {textbook} • software: {software} • lab equipment: {equipment} **important dates:** • first class: {date} • add/drop deadline: {date[num]} • final exam: {date[num]} please ensure you have completed all prerequisites before the first class. best regards, {university} registrar's office"
Prescription Ready for Pickup,"Dear Lisa,

Your appointment with {doctor} has been confirmed.

**Appointment Details:**
• Date: {date}
• Time: {time}
• Location: {clinic_name}
• Address: {address}
• Duration: {duration}

**Please bring:**
□ Insurance card
□ Photo ID
□ List of current medications
□ Recent test results (if applicable)

**To cancel or reschedule:**
Please call {phone} at least 24 hours in advance.

We look forward to seeing you!

{clinic_name} Team",0,legitimate,healthcare_medical,medium,"Prescription Ready for Pickup Dear Lisa,

Your appointment with {doctor} has been confirmed.

**Appointment Details:**
• Date: {date}
• Time: {time}
• Location: {clinic_name}
• Address: {address}
• Duration: {duration}

**Please bring:**
□ Insurance card
□ Photo ID
□ List of current medications
□ Recent test results (if applicable)

**To cancel or reschedule:**
Please call {phone} at least 24 hours in advance.

We look forward to seeing you!

{clinic_name} Team",generated,2026-03-22,"prescription ready for pickup dear lisa, your appointment with {doctor} has been confirmed. **appointment details:** • date: {date} • time: {time} • location: {clinic_name} • address: {address} • duration: {duration} **please bring:** □ insurance card □ photo id □ list of current medications □ recent test results (if applicable) **to cancel or reschedule:** please call {phone} at least [num] hours in advance. we look forward to seeing you! {clinic_name} team"
Account Balance Update: ${balance},"Hello Wei,

A direct deposit of ${amount} was posted to your account on {date}.

**Transaction Details:**
• Type: {deposit_type}
• Source: {source}
• Reference: {ref}

**Your Current Balance:** ${balance}

To view full transaction history, log in to online banking or visit our mobile app.

{bank} Team",0,legitimate,financial_banking,medium,"Account Balance Update: ${balance} Hello Wei,

A direct deposit of ${amount} was posted to your account on {date}.

**Transaction Details:**
• Type: {deposit_type}
• Source: {source}
• Reference: {ref}

**Your Current Balance:** ${balance}

To view full transaction history, log in to online banking or visit our mobile app.

{bank} Team",generated,2026-03-22,"account balance update: ${balance} hello wei, a direct deposit of ${amount} was posted to your account on {date}. **transaction details:** • type: {deposit_type} • source: {source} • reference: {ref} **your current balance:** ${balance} to view full transaction history, log in to online banking or visit our mobile app. {bank} team"
Account Recovery Options Updated,"Hi Priya,

We noticed a new login to your Verizon account.

**Login Details:**
• Date: {date}
• Time: {time}
• Location: {location}
• Device: {device}
• Browser: {browser}

**Was this you?**
→ Yes, this was me (no action needed)
→ No, this wasn't me - secure your account

**To review your security settings:**
{security_url}

If this wasn't you, we recommend changing your password and enabling two-factor authentication immediately.

Thanks for helping keep your account safe!

Verizon Security Team",0,legitimate,security_legitimate,medium,"Account Recovery Options Updated Hi Priya,

We noticed a new login to your Verizon account.

**Login Details:**
• Date: {date}
• Time: {time}
• Location: {location}
• Device: {device}
• Browser: {browser}

**Was this you?**
→ Yes, this was me (no action needed)
→ No, this wasn't me - secure your account

**To review your security settings:**
{security_url}

If this wasn't you, we recommend changing your password and enabling two-factor authentication immediately.

Thanks for helping keep your account safe!

Verizon Security Team",generated,2026-03-22,"account recovery options updated hi priya, we noticed a new login to your verizon account. **login details:** • date: {date} • time: {time} • location: {location} • device: {device} • browser: {browser} **was this you?** → yes, this was me (no action needed) → no, this wasn't me - secure your account **to review your security settings:** {security_url} if this wasn't you, we recommend changing your password and enabling two-factor authentication immediately. thanks for helping keep your account safe! verizon security team"
Investment Portfolio Performance,"Hi Ava,

Your {bank} statement for {month} is now available.

**Account Summary:**
• Account: ****{last4}
• Opening Balance: ${opening}
• Closing Balance: ${closing}
• Deposits: ${deposits}
• Withdrawals: ${withdrawals}
• Interest Earned: ${interest}

**Recent Transactions:**
1. {date1} - {merchant1}: ${amount1}
2. {date2} - {merchant2}: ${amount2}
3. {date3} - {merchant3}: ${amount3}

**Download Statement:**
{portal_url}

If you notice any unauthorized activity, please contact us immediately.

Thank you for banking with us!

{bank} Customer Service",0,legitimate,financial_banking,medium,"Investment Portfolio Performance Hi Ava,

Your {bank} statement for {month} is now available.

**Account Summary:**
• Account: ****{last4}
• Opening Balance: ${opening}
• Closing Balance: ${closing}
• Deposits: ${deposits}
• Withdrawals: ${withdrawals}
• Interest Earned: ${interest}

**Recent Transactions:**
1. {date1} - {merchant1}: ${amount1}
2. {date2} - {merchant2}: ${amount2}
3. {date3} - {merchant3}: ${amount3}

**Download Statement:**
{portal_url}

If you notice any unauthorized activity, please contact us immediately.

Thank you for banking with us!

{bank} Customer Service",generated,2026-03-22,"investment portfolio performance hi ava, your {bank} statement for {month} is now available. **account summary:** • account: ****{last[num]} • opening balance: ${opening} • closing balance: ${closing} • deposits: ${deposits} • withdrawals: ${withdrawals} • interest earned: ${interest} **recent transactions:** [num]. {date[num]} - {merchant[num]}: ${amount[num]} [num]. {date[num]} - {merchant[num]}: ${amount[num]} [num]. {date[num]} - {merchant[num]}: ${amount[num]} **download statement:** {portal_url} if you notice any unauthorized activity, please contact us immediately. thank you for banking with us! {bank} customer service"
Q4 Performance Review: Engineering,"Hi Kenji,

**Project Update: Cloud Migration**
- Status: On Track
- Completion: 46%
- Next Milestone: Development
- Due Date: March 03, 2026

**Key Accomplishments This Week:**
✓ Resolved critical bugs
✓ Implemented new features
✓ Performance metrics improved

**Risks/Blockers:**
• Integration challenges
• Communication issues

**Next Steps:**
1. Schedule review meeting
2. Conduct user testing
3. Document learnings

Please review and let me know if you have any questions.

Best regards,
Olga Garcia
Instagram Project Management Office",0,legitimate,professional_business,medium,"Q4 Performance Review: Engineering Hi Kenji,

**Project Update: Cloud Migration**
- Status: On Track
- Completion: 46%
- Next Milestone: Development
- Due Date: March 03, 2026

**Key Accomplishments This Week:**
✓ Resolved critical bugs
✓ Implemented new features
✓ Performance metrics improved

**Risks/Blockers:**
• Integration challenges
• Communication issues

**Next Steps:**
1. Schedule review meeting
2. Conduct user testing
3. Document learnings

Please review and let me know if you have any questions.

Best regards,
Olga Garcia
Instagram Project Management Office",generated,2026-03-22,"q[num] performance review: engineering hi kenji, **project update: cloud migration** - status: on track - completion: [num]% - next milestone: development - due date: march [num], [num] **key accomplishments this week:** ✓ resolved critical bugs ✓ implemented new features ✓ performance metrics improved **risks/blockers:** • integration challenges • communication issues **next steps:** [num]. schedule review meeting [num]. conduct user testing [num]. document learnings please review and let me know if you have any questions. best regards, olga garcia instagram project management office"
Security Notification: {action},"Hi David,

We noticed a new login to your eBay account.

**Login Details:**
• Date: {date}
• Time: {time}
• Location: {location}
• Device: {device}
• Browser: {browser}

**Was this you?**
→ Yes, this was me (no action needed)
→ No, this wasn't me - secure your account

**To review your security settings:**
{security_url}

If this wasn't you, we recommend changing your password and enabling two-factor authentication immediately.

Thanks for helping keep your account safe!

eBay Security Team",0,legitimate,security_legitimate,medium,"Security Notification: {action} Hi David,

We noticed a new login to your eBay account.

**Login Details:**
• Date: {date}
• Time: {time}
• Location: {location}
• Device: {device}
• Browser: {browser}

**Was this you?**
→ Yes, this was me (no action needed)
→ No, this wasn't me - secure your account

**To review your security settings:**
{security_url}

If this wasn't you, we recommend changing your password and enabling two-factor authentication immediately.

Thanks for helping keep your account safe!

eBay Security Team",generated,2026-03-22,"security notification: {action} hi david, we noticed a new login to your ebay account. **login details:** • date: {date} • time: {time} • location: {location} • device: {device} • browser: {browser} **was this you?** → yes, this was me (no action needed) → no, this wasn't me - secure your account **to review your security settings:** {security_url} if this wasn't you, we recommend changing your password and enabling two-factor authentication immediately. thanks for helping keep your account safe! ebay security team"
URGENT: Your Shopify account has been compromised!,"Hello Noah,

We've noticed unusual behavior on your Shopify account. Multiple failed login attempts were detected from Houston.

**What happened:**
- 7 failed login attempts in the last hour
- Access from unrecognized device
- Possible credential stuffing attack

**To protect your account:**
1. Click here to secure your account: https://aссоunt-shоpify.net/verify
2. Change your password
3. Enable two-factor authentication

Failure to act within 46 hours will result in account restriction.

Thank you,
Shopify Fraud Prevention Team",1,phishing,account_compromise,high,"URGENT: Your Shopify account has been compromised! Hello Noah,

We've noticed unusual behavior on your Shopify account. Multiple failed login attempts were detected from Houston.

**What happened:**
- 7 failed login attempts in the last hour
- Access from unrecognized device
- Possible credential stuffing attack

**To protect your account:**
1. Click here to secure your account: https://aссоunt-shоpify.net/verify
2. Change your password
3. Enable two-factor authentication

Failure to act within 46 hours will result in account restriction.

Thank you,
Shopify Fraud Prevention Team",generated,2026-03-22,"urgent: your shopify account has been compromised! hello noah, we've noticed unusual behavior on your shopify account. multiple failed login attempts were detected from houston. **what happened:** - [num] failed login attempts in the last hour - access from unrecognized device - possible credential stuffing attack **to protect your account:** [num]. click here to secure your account: [url] [num]. change your password [num]. enable two-factor authentication failure to act within [num] hours will result in account restriction. thank you, shopify fraud prevention team"
Voter Registration Confirmation,"Notice of Property Tax Assessment

Dear Ava,

This notice is regarding the assessed value of your property located at {address}.

**Assessment Details:**
• Parcel Number: {parcel}
• Land Value: ${land}
• Improvement Value: ${improvement}
• Total Assessed Value: ${total}
• Tax Year: {year}

**Your Estimated Tax:** ${tax}

**Important Dates:**
• Appeal Deadline: {appeal_date}
• First Installment Due: {due_date1}
• Second Installment Due: {due_date2}

If you believe your property value is incorrect, you may file an appeal by {appeal_date}.

{county} Assessor's Office",0,legitimate,legal_government,medium,"Voter Registration Confirmation Notice of Property Tax Assessment

Dear Ava,

This notice is regarding the assessed value of your property located at {address}.

**Assessment Details:**
• Parcel Number: {parcel}
• Land Value: ${land}
• Improvement Value: ${improvement}
• Total Assessed Value: ${total}
• Tax Year: {year}

**Your Estimated Tax:** ${tax}

**Important Dates:**
• Appeal Deadline: {appeal_date}
• First Installment Due: {due_date1}
• Second Installment Due: {due_date2}

If you believe your property value is incorrect, you may file an appeal by {appeal_date}.

{county} Assessor's Office",generated,2026-03-22,"voter registration confirmation notice of property tax assessment dear ava, this notice is regarding the assessed value of your property located at {address}. **assessment details:** • parcel number: {parcel} • land value: ${land} • improvement value: ${improvement} • total assessed value: ${total} • tax year: {year} **your estimated tax:** ${tax} **important dates:** • appeal deadline: {appeal_date} • first installment due: {due_date[num]} • second installment due: {due_date[num]} if you believe your property value is incorrect, you may file an appeal by {appeal_date}. {county} assessor's office"
Building Permit Approval: {permit},"Notice of Property Tax Assessment

Dear Benjamin,

This notice is regarding the assessed value of your property located at {address}.

**Assessment Details:**
• Parcel Number: {parcel}
• Land Value: ${land}
• Improvement Value: ${improvement}
• Total Assessed Value: ${total}
• Tax Year: {year}

**Your Estimated Tax:** ${tax}

**Important Dates:**
• Appeal Deadline: {appeal_date}
• First Installment Due: {due_date1}
• Second Installment Due: {due_date2}

If you believe your property value is incorrect, you may file an appeal by {appeal_date}.

{county} Assessor's Office",0,legitimate,legal_government,medium,"Building Permit Approval: {permit} Notice of Property Tax Assessment

Dear Benjamin,

This notice is regarding the assessed value of your property located at {address}.

**Assessment Details:**
• Parcel Number: {parcel}
• Land Value: ${land}
• Improvement Value: ${improvement}
• Total Assessed Value: ${total}
• Tax Year: {year}

**Your Estimated Tax:** ${tax}

**Important Dates:**
• Appeal Deadline: {appeal_date}
• First Installment Due: {due_date1}
• Second Installment Due: {due_date2}

If you believe your property value is incorrect, you may file an appeal by {appeal_date}.

{county} Assessor's Office",generated,2026-03-22,"building permit approval: {permit} notice of property tax assessment dear benjamin, this notice is regarding the assessed value of your property located at {address}. **assessment details:** • parcel number: {parcel} • land value: ${land} • improvement value: ${improvement} • total assessed value: ${total} • tax year: {year} **your estimated tax:** ${tax} **important dates:** • appeal deadline: {appeal_date} • first installment due: {due_date[num]} • second installment due: {due_date[num]} if you believe your property value is incorrect, you may file an appeal by {appeal_date}. {county} assessor's office"
